team,county,state,date,case_inc_avg
ATL,Fulton,Georgia,2021-02-14,27.2
ATL,Fulton,Georgia,2021-02-15,26.36
ATL,Fulton,Georgia,2021-02-16,25.08
ATL,Fulton,Georgia,2021-02-17,25.38
ATL,Fulton,Georgia,2021-02-18,24.35
ATL,Fulton,Georgia,2021-02-19,23.78
ATL,Fulton,Georgia,2021-02-20,23.11
ATL,Fulton,Georgia,2021-02-21,23.11
ATL,Fulton,Georgia,2021-02-22,22.54
ATL,Fulton,Georgia,2021-02-23,23.34
ATL,Fulton,Georgia,2021-02-24,23.86
ATL,Fulton,Georgia,2021-02-25,25.49
ATL,Fulton,Georgia,2021-02-26,27.41
ATL,Fulton,Georgia,2021-02-27,27.2
ATL,Fulton,Georgia,2021-02-28,28.25
ATL,Fulton,Georgia,2021-03-01,30.15
ATL,Fulton,Georgia,2021-03-02,30.8
ATL,Fulton,Georgia,2021-03-03,30.68
ATL,Fulton,Georgia,2021-03-04,30.87
ATL,Fulton,Georgia,2021-03-05,28.15
ATL,Fulton,Georgia,2021-03-06,28.48
ATL,Fulton,Georgia,2021-03-07,27.93
ATL,Fulton,Georgia,2021-03-08,27.05
BOS,Suffolk,Massachusetts,2021-02-14,29.54
BOS,Suffolk,Massachusetts,2021-02-15,30.22
BOS,Suffolk,Massachusetts,2021-02-16,29.5
BOS,Suffolk,Massachusetts,2021-02-17,27.74
BOS,Suffolk,Massachusetts,2021-02-18,26.31
BOS,Suffolk,Massachusetts,2021-02-19,25.52
BOS,Suffolk,Massachusetts,2021-02-20,25.64
BOS,Suffolk,Massachusetts,2021-02-21,24.25
